,Symbol,Datetime,Interval,Open,High,Low,Close,Volume,Exchange
0,ADANIPOWER,2025-03-03 15:29:00+05:30,1minute,482.75,483.0,482.1,483.0,20319,NSE_EQ
1,ADANIPOWER,2025-03-03 15:28:00+05:30,1minute,482.2,483.0,481.95,482.5,19979,NSE_EQ
2,ADANIPOWER,2025-03-03 15:27:00+05:30,1minute,482.35,482.35,482.1,482.2,18425,NSE_EQ
3,ADANIPOWER,2025-03-03 15:26:00+05:30,1minute,482.5,482.5,482.0,482.25,20407,NSE_EQ
4,ADANIPOWER,2025-03-03 15:25:00+05:30,1minute,482.25,482.6,482.0,482.55,20766,NSE_EQ
5,ADANIPOWER,2025-03-03 15:24:00+05:30,1minute,482.65,482.8,482.0,482.25,32963,NSE_EQ
6,ADANIPOWER,2025-03-03 15:23:00+05:30,1minute,483.05,483.15,482.5,482.65,13196,NSE_EQ
7,ADANIPOWER,2025-03-03 15:22:00+05:30,1minute,483.5,483.5,482.95,483.05,16850,NSE_EQ
8,ADANIPOWER,2025-03-03 15:21:00+05:30,1minute,483.45,483.95,483.4,483.5,12706,NSE_EQ
9,ADANIPOWER,2025-03-03 15:20:00+05:30,1minute,484.45,484.5,483.3,483.45,59154,NSE_EQ
10,ADANIPOWER,2025-03-03 15:19:00+05:30,1minute,483.7,484.55,483.6,484.2,70030,NSE_EQ
11,ADANIPOWER,2025-03-03 15:18:00+05:30,1minute,483.65,483.9,483.5,483.7,13692,NSE_EQ
12,ADANIPOWER,2025-03-03 15:17:00+05:30,1minute,483.6,483.9,483.45,483.85,22889,NSE_EQ
13,ADANIPOWER,2025-03-03 15:16:00+05:30,1minute,482.95,483.9,482.9,483.6,34939,NSE_EQ
14,ADANIPOWER,2025-03-03 15:15:00+05:30,1minute,482.95,483.0,482.8,482.95,14257,NSE_EQ
15,ADANIPOWER,2025-03-03 15:14:00+05:30,1minute,483.0,483.05,482.8,482.85,8069,NSE_EQ
16,ADANIPOWER,2025-03-03 15:13:00+05:30,1minute,482.95,483.15,482.9,482.9,9467,NSE_EQ
17,ADANIPOWER,2025-03-03 15:12:00+05:30,1minute,483.1,483.2,482.9,483.05,8345,NSE_EQ
18,ADANIPOWER,2025-03-03 15:11:00+05:30,1minute,483.2,483.3,483.0,483.0,6198,NSE_EQ
19,ADANIPOWER,2025-03-03 15:10:00+05:30,1minute,483.2,483.75,482.7,483.0,21400,NSE_EQ
20,ADANIPOWER,2025-03-03 15:09:00+05:30,1minute,483.15,483.8,483.0,483.2,10610,NSE_EQ
21,ADANIPOWER,2025-03-03 15:08:00+05:30,1minute,483.35,483.35,482.55,482.95,9366,NSE_EQ
22,ADANIPOWER,2025-03-03 15:07:00+05:30,1minute,483.75,483.8,483.0,483.35,13008,NSE_EQ
23,ADANIPOWER,2025-03-03 15:06:00+05:30,1minute,483.25,483.9,483.1,483.75,12622,NSE_EQ
